Date,Open,High,Low,Close,Adj Close,Volume
2024-02-06,0.493382,0.503421,0.490085,0.498463,0.498463,274076725
2024-02-07,0.498442,0.501844,0.475045,0.501773,0.501773,492711608
2024-02-08,0.501795,0.534829,0.501795,0.529269,0.529269,679323504
2024-02-09,0.529449,0.547281,0.528349,0.540792,0.540792,524686031
2024-02-10,0.540741,0.556023,0.530169,0.551412,0.551412,395418510
2024-02-11,0.551422,0.564102,0.536913,0.541410,0.541410,523269115
2024-02-12,0.541433,0.564612,0.531948,0.560031,0.560031,484749602
2024-02-13,0.559999,0.563696,0.535545,0.544996,0.544996,461202155
2024-02-14,0.544989,0.580883,0.540968,0.577302,0.577302,575223913
2024-02-15,0.577321,0.610741,0.573474,0.608363,0.608363,779142077
2024-02-16,0.608527,0.612269,0.585995,0.598872,0.598872,550329852
2024-02-17,0.598894,0.609918,0.571002,0.608346,0.608346,466411549
2024-02-18,0.608639,0.637485,0.608639,0.618734,0.618734,682968263
2024-02-19,0.618769,0.636478,0.617451,0.631063,0.631063,623936416
2024-02-20,0.631060,0.639021,0.600431,0.622165,0.622165,820804617
2024-02-21,0.622090,0.622667,0.577376,0.598458,0.598458,559139405
2024-02-22,0.598480,0.606892,0.582224,0.585902,0.585902,507615418
2024-02-23,0.585821,0.594021,0.570498,0.583242,0.583242,459892758
2024-02-24,0.583161,0.598924,0.571189,0.596696,0.596696,388866047
2024-02-25,0.596705,0.599775,0.581406,0.591379,0.591379,340380261
2024-02-26,0.591361,0.621698,0.575256,0.619736,0.619736,587054943
2024-02-27,0.619746,0.628994,0.611208,0.624216,0.624216,746587622
2024-02-28,0.624196,0.658023,0.603052,0.631059,0.631059,1200627089
2024-02-29,0.630860,0.705280,0.625720,0.655646,0.655646,1639531217
2024-03-01,0.655441,0.719081,0.654593,0.719081,0.719081,935379844
2024-03-02,0.719034,0.761303,0.718878,0.740928,0.740928,1245213176
2024-03-03,0.741072,0.741664,0.701956,0.728238,0.728238,907825948
2024-03-04,0.728179,0.796568,0.725920,0.771294,0.771294,1639201127
2024-03-05,0.771298,0.780695,0.595808,0.693490,0.693490,2145482141
2024-03-06,0.693489,0.754289,0.667933,0.733821,0.733821,1221400314
2024-03-07,0.733846,0.754620,0.721365,0.744742,0.744742,941680283
2024-03-08,0.744739,0.754460,0.704171,0.724854,0.724854,927800736
2024-03-09,0.724855,0.746143,0.723400,0.743713,0.743713,605198969
2024-03-10,0.743714,0.744226,0.705301,0.717227,0.717227,644622507
2024-03-11,0.717152,0.786883,0.695982,0.774190,0.774190,1342617498
2024-03-12,0.774189,0.775003,0.716698,0.748055,0.748055,998599295
2024-03-13,0.748055,0.772147,0.738719,0.764580,0.764580,824896066
2024-03-14,0.764562,0.806985,0.719326,0.750474,0.750474,1613619970
2024-03-15,0.750474,0.761962,0.678853,0.726441,0.726441,1420031176
2024-03-16,0.726447,0.733654,0.654741,0.659535,0.659535,959186468
2024-03-17,0.659535,0.686795,0.633787,0.681099,0.681099,802801116
2024-03-18,0.681099,0.696410,0.645319,0.661258,0.661258,802980597
2024-03-19,0.661258,0.664484,0.580711,0.586914,0.586914,1139892364
2024-03-20,0.586914,0.643161,0.572496,0.639481,0.639481,971939779
2024-03-21,0.639486,0.646522,0.620028,0.631868,0.631868,656574365
2024-03-22,0.631873,0.641832,0.600912,0.613263,0.613263,590758984
2024-03-23,0.613304,0.638630,0.613016,0.625862,0.625862,412657715
2024-03-24,0.625859,0.647304,0.625546,0.646157,0.646157,404827847
2024-03-25,0.646152,0.667585,0.639901,0.656949,0.656949,582546405
2024-03-26,0.656949,0.682587,0.654080,0.665034,0.665034,618252702
2024-03-27,0.665024,0.670158,0.632704,0.648483,0.648483,656276131
2024-03-28,0.648438,0.657416,0.636376,0.650794,0.650794,460284723
2024-03-29,0.650796,0.666749,0.638028,0.664403,0.664403,561835326
2024-03-30,0.664424,0.668271,0.643069,0.644366,0.644366,401576882
2024-03-31,0.644364,0.653083,0.643244,0.650427,0.650427,321124603
2024-04-01,0.650427,0.650956,0.607714,0.621684,0.621684,627776275
2024-04-02,0.621685,0.621696,0.575678,0.580987,0.580987,678945520
2024-04-03,0.580988,0.594003,0.566755,0.571278,0.571278,485562333
2024-04-04,0.571277,0.596073,0.562020,0.582955,0.582955,495438691
2024-04-05,0.582955,0.584300,0.562024,0.574834,0.574834,449048347
